trafo_id,ŞEBEKE_UNSURU_KODU
61,E.BİNLİK-N.BUDAK-Ö.KARAÇAKIL-İ.SAĞLAM 35-13-L00200Ö_DIREK TIPI TRAFO HUCRESI H01_2038158
62,OLGUNLAR TR-2 35-31-L00220_DIREK TIPI TRAFO HUCRESI H01_2038174
63,OLGUNLAR CERİTLER MAH. TR-1 35-31-L00219_DIREK TIPI TRAFO HUCRESI H01_2038175
64,OLGUNLAR TR-3 35-31-L00215_DIREK TIPI TRAFO HUCRESI H01_2038176
65,AHMET BALAS VE ARKADAŞLARI TR 35-24-L00023_DIREK TIPI TRAFO HUCRESI H01_2038333
66,MUSTAFA ÇAKMAK VE ARKADAŞLARI TR 35-24-M00028_DIREK TIPI TRAFO HUCRESI H01_2038338
67,KARAKOVA TR-2 35-24-M00033_DIREK TIPI TRAFO HUCRESI H01_2038343
68,SAKALLI KÖYÜ TR-1 45-71-M01695_DIREK TIPI TRAFO HUCRESI H01_2038414
69,M-873 35-02-M00873_DIREK TIPI TRAFO HUCRESI H01_2038676
70,K-434 35-02-K00434_K-407 K02_2038723
71,ÇAYBAŞI DM-1/19 35-26-M00182_ M10_2038795
72,ÇAYBAŞI DM-1/19 35-26-M00182_ M12_2038797
73,YEDİ BİLGELER ŞARAPÇILIK 35-13-L00331Ö_DIREK TIPI TRAFO HUCRESI H01_2038864
74,HÜSEYİN ALTINTAŞ-SELİM TÜRKER ÖZEL TR 35-13-L00263Ö_DIREK TIPI TRAFO HUCRESI H01_2039051
75,HASKÖY TR-1 35-20-L00206_DIREK TIPI TRAFO HUCRESI H01_2039156
76,ÖZDENİZCİLİK ÖZEL TR 35-17-M00160Ö_DIREK TIPI TRAFO HUCRESI H01_2039198
77,MEHMET BABACAN SLM TR 35-26-M00177_DIREK TIPI TRAFO HUCRESI H01_2039209
78,SAHİL ÖZLEM SİTESİ ÖZEL TR 35-30-M00047Ö_ M01_2039224
79,ŞERAFETTİN PINAR GRB 35-30-M00082_DIREK TIPI TRAFO HUCRESI H01_2039252
80,"MORDOĞAN İM 35-21-A00002_KARABURUN 15,8 (MORDOĞAN KÖYLER) L12_2039282"
81,HALIKÖY OVACIK MAH. TR-4 35-32-L00125_DIREK TIPI TRAFO HUCRESI H01_2039359
82,KIZILCAAVLU TR-1 35-15-L00180_DIREK TIPI TRAFO HUCRESI H01_2039361
83,KIZILCAAVLU TR-3 35-15-L00182_DIREK TIPI TRAFO HUCRESI H01_2039363
84,YEŞİLKÖY TR-1 35-15-L00187_DIREK TIPI TRAFO HUCRESI H01_2039366
85,SEZER ZEYBEK ÖZEL TR 35-15-L00737Ö_DIREK TIPI TRAFO HUCRESI H01_2039410
86,M-1094 35-02-M01094_OSMANGAZİ TM M04_2039437
87,MAHMUDİYE TR-1 35-16-M00069_DIREK TIPI TRAFO HUCRESI H01_2039453
88,KAŞIKÇI TR-1 35-24-M00240_DIREK TIPI TRAFO HUCRESI H01_2039479
89,KIZILTEPE TR-1 35-16-M00238_DIREK TIPI TRAFO HUCRESI H01_2039480
90,RIZA GÖK VE ARKADAŞLARI ÖZEL TR 35-30-M00261Ö_DIREK TIPI TRAFO HUCRESI H01_2039540
91,BAHRİ YAVAŞ ÖZEL TR 35-26-L00163Ö_DIREK TIPI TRAFO HUCRESI H01_2039609
92,DAĞKIZILCA-3 35-26-M00501_DIREK TIPI TRAFO HUCRESI H01_2039660
93,ÇAKIRBEYLİ TR-1 35-26-M00486_DIREK TIPI TRAFO HUCRESI H01_2039664
94,SAİPLER TR-1 35-26-M00479_DIREK TIPI TRAFO HUCRESI H01_2039665
95,BOZKÖY-1 35-26-M00480_DIREK TIPI TRAFO HUCRESI H01_2039666
96,BÖLCEK MEZARLIK-4 TR 35-16-M00266_DIREK TIPI TRAFO HUCRESI H01_2039693
97,SARIKAYA İ.KARAGÜL TARIMSAL GRUP SULAMA 35-32-L00062_DIREK TIPI TRAFO HUCRESI H01_2039741
98,TÖYKO KÖK 35-30-M00213_GÜZELEGE SİTESİ M02_2039759
99,ALİ TUNCEL SLM TR 35-26-L00351_DIREK TIPI TRAFO HUCRESI H01_2039786
100,TULUM TR-2 35-26-L00354_DIREK TIPI TRAFO HUCRESI H01_2039790
101,NAİME KÖY-1 35-26-L00340_DIREK TIPI TRAFO HUCRESI H01_2039791
102,PAMUKYAZI-1 35-26-L00380_DIREK TIPI TRAFO HUCRESI H01_2039796
103,SULTANİYE KÖYÜ TR-1 35-13-L00080_DIREK TIPI TRAFO HUCRESI H01_2039951
104,OĞUZLAR TR-1 35-15-L00739_DIREK TIPI TRAFO HUCRESI H01_2040169
105,KORUCUK-3 35-26-M00463_DIREK TIPI TRAFO HUCRESI H01_2040249
106,KORUCUK-2 35-26-M00462_DIREK TIPI TRAFO HUCRESI H01_2040250
107,ÇAMLICA TR-1 35-26-M00454_DIREK TIPI TRAFO HUCRESI H01_2040252
108,BÖLCEK DEĞİRMEN ALTI TR-1 35-16-M00270_DIREK TIPI TRAFO HUCRESI H01_2040286
109,KADIKÖY ÇERKEZBÜKÜ TR-2 35-16-M00275_DIREK TIPI TRAFO HUCRESI H01_2040295
110,PAMUKYAZI-2 35-26-L00381_DIREK TIPI TRAFO HUCRESI H01_2040383
111,SARICALAR TOPRAK SULAMA TR-3 35-16-M00299_DIREK TIPI TRAFO HUCRESI H01_2040440
112,TAŞLIYATAK TR-7 35-31-L00341_DIREK TIPI TRAFO HUCRESI H01_2040493
113,TAŞLIYATAK TR-6 35-31-L00342_DIREK TIPI TRAFO HUCRESI H01_2040494
114,UMURLU TR-6 35-31-L00360_DIREK TIPI TRAFO HUCRESI H01_2040512
115,EĞERCİ TR-3 35-26-L00207_DIREK TIPI TRAFO HUCRESI H01_2040557
116,TR-71 35-16-L00071_DIREK TIPI TRAFO HUCRESI H01_2040661
117,CUMALI TOPRAK SULAMA TR-2 35-24-M00198_DIREK TIPI TRAFO HUCRESI H01_2040663
118,TÖYKO KÖK 35-30-M00213_NEJLA TUNA M01_2040898
119,TEKKEDERE TARIMSAL SULAMA TR 35-16-M00179_DIREK TIPI TRAFO HUCRESI H01_2040984
120,YENİKENT SULAMA TR-11 35-16-M00220_DIREK TIPI TRAFO HUCRESI H01_2040991
121,YENİKENT SULAMA TR-13 (ÖZÇOBAN) 35-16-M00222_DIREK TIPI TRAFO HUCRESI H01_2040993
122,SINIRADA TR-1 35-16-M00095_DIREK TIPI TRAFO HUCRESI H01_2041027
123,M-2196 KARAAĞAÇ TR-3 35-03-M02196_DIREK TIPI TRAFO HUCRESI H01_2041210
124,YENİKÖY-4 35-26-L00143_DIREK TIPI TRAFO HUCRESI H01_2041213
125,CEVİZALAN TR-3 35-15-L01018_DIREK TIPI TRAFO HUCRESI H01_2041280
126,M-1208 35-02-M01208_M-1278 M01_2041413
127,M-1208 35-02-M01208_TRAFO M03_2041415
128,TR-46 35-19-M00046_DIREK TIPI TRAFO HUCRESI H01_2041435
129,K-1498 35-02-K01498_TRAFO K01_2041436
130,TR-27 35-16-L00027_DIREK TIPI TRAFO HUCRESI H01_2041538
131,KATIRALAN TR-1 35-30-M00160_DIREK TIPI TRAFO HUCRESI H01_2041611
132,HASAN  KAYSI 35-30-M00370_DIREK TIPI TRAFO HUCRESI H01_2041700
133,ARİF ŞENOL 35-26-L00057_DIREK TIPI TRAFO HUCRESI H01_2041737
134,ZEYNEL ÇALAN 35-26-L00079_DIREK TIPI TRAFO HUCRESI H01_2041742
135,TOPRAK SULAMA-2 35-26-L00003_DIREK TIPI TRAFO HUCRESI H01_2041746
136,SUBAŞI-2 35-26-L00329_DIREK TIPI TRAFO HUCRESI H01_2041766
137,ARİF DURSUN SLM TR 35-26-L00099_DIREK TIPI TRAFO HUCRESI H01_2041794
138,HASAN VARLIK 35-26-M00535_DIREK TIPI TRAFO HUCRESI H01_2041795
139,EKREM YALÇIN GRB 35-20-M00016_DIREK TIPI TRAFO HUCRESI H01_2041916
140,GÜRÇEŞME İM 35-03-A00001_NATO K06_2041981
141,HALK EĞİTİMCİLER-1 35-30-M00341_DIREK TIPI TRAFO HUCRESI H01_2042011
142,M-1209 35-01-M01209_TRAFO M03_2042014
143,ŞEVKİ DİRİK GRB. 35-20-M00018_DIREK TIPI TRAFO HUCRESI H01_2042051
144,TR-52 35-16-L00052_DIREK TIPI TRAFO HUCRESI H01_2042109
145,AHMET SERTOĞLU VE ARK. T-SULAMA GRB. 35-13-L00113_DIREK TIPI TRAFO HUCRESI H01_2042144
146,MEHMET TURAN VE ARK. T-SULAMA GRB. 35-13-L00111_DIREK TIPI TRAFO HUCRESI H01_2042148
147,MEHMET  LALE VE ARK. T-SULAMA GRB. 35-13-L00103_DIREK TIPI TRAFO HUCRESI H01_2042153
148,İSMAİL DOĞANGEÇEN VE ARK. T-SULAMA GRB. 35-13-L00096_DIREK TIPI TRAFO HUCRESI H01_2042156
149,NAİL TUNTAŞ VE ARK. T-SULAMA GRB. 35-13-L00094_DIREK TIPI TRAFO HUCRESI H01_2042161
150,ZEYTİNKÖY TR-4 35-13-L00068_DIREK TIPI TRAFO HUCRESI H01_2042163
151,M-922 35-02-M00922_M-278 M02_2042174
152,YAYAKENT TR-7 35-24-M00007_DIREK TIPI TRAFO HUCRESI H01_2042232
153,ÇUKURALAN TR-1 35-30-L00138_DIREK TIPI TRAFO HUCRESI H01_2042286
154,CEVİZLİ GARAJ TR-1 35-16-M00131_DIREK TIPI TRAFO HUCRESI H01_2042461
155,DÜNDARLI TR-1 35-24-M00202_DIREK TIPI TRAFO HUCRESI H01_2042648
156,İRFAN YAY 35-24-M00211_DIREK TIPI TRAFO HUCRESI H01_2042651
157,YAYILGAN TR-2 35-16-M00255_DIREK TIPI TRAFO HUCRESI H01_2042676
158,DM-20/13 (ÇAPRA KABİN) 45-71-M00272_TR-84 M03_2042789
159,ÇANDARLI TR-8 35-30-M00008_DIREK TIPI TRAFO HUCRESI H01_2042858
160,MEHMET KIVRAK ÖZEL TR 35-15-L00372Ö_DIREK TIPI TRAFO HUCRESI H01_2042944
161,YALNIZDAM TR-1 35-16-M00152_DIREK TIPI TRAFO HUCRESI H01_2042992
162,BOĞAZİÇİ İM 35-01-A00001_ALTINDAĞ K015_2043016
163,BOĞAZİÇİ İM 35-01-A00001_HALKAPINAR K016_2043017
164,BOĞAZİÇİ İM 35-01-A00001_GÜLTEPE K018_2043020
165,BOĞAZİÇİ İM 35-01-A00001_SANAYİ K019_2043023
166,BOĞAZİÇİ İM 35-01-A00001_YENİŞEHİR K020_2043024
167,RAFET KUŞTAŞI 35-16-M00603Ö_DIREK TIPI TRAFO HUCRESI H01_2043072
168,İZSU DEMİRCİLİ SU KUYUSU ÖZEL TR 35-15-L00150Ö_DIREK TIPI TRAFO HUCRESI H01_2043094
169,GERELİ KÖYÜ KÖPRÜ YANYI TR 3 35-15-M00220_DIREK TIPI TRAFO HUCRESI H01_2043189
170,GERELİ KÖYÜ KAVAKKUYU TR 4 35-15-M00221_DIREK TIPI TRAFO HUCRESI H01_2043190
171,GERELİ KÖYÜ KAVAKKUYU TR 9 35-15-M00226_DIREK TIPI TRAFO HUCRESI H01_2043195
172,EĞRİGÖL TARIMSAL SULAMA TR-2 35-16-M00178_DIREK TIPI TRAFO HUCRESI H01_2043334
173,ÖRENLİ TR-1 35-16-M00075_DIREK TIPI TRAFO HUCRESI H01_2043534
174,ÇELTİKÇİ TR-1 35-16-M00076_DIREK TIPI TRAFO HUCRESI H01_2043541
175,GÖÇBEYLİ TR-3 35-16-M00018_DIREK TIPI TRAFO HUCRESI H01_2043564
176,S.S.ÖZBURAK SİTESİ TR 35-30-L00107_DIREK TIPI TRAFO HUCRESI H01_2043614
177,M-32 CUMHURİYET 35-25-M00103_DIREK TIPI TRAFO HUCRESI H01_2043626
178,OVACIK TR-1 35-16-L00262_DIREK TIPI TRAFO HUCRESI H01_2043832
179,YENİ KENT TR-3 35-16-M00028_DIREK TIPI TRAFO HUCRESI H01_2043937
180,YUKARIKIRIKLAR TR-1 35-16-M00063_DIREK TIPI TRAFO HUCRESI H01_2044127
181,DOKTORLAR SİTESİ TR 35-30-M00257_DIREK TIPI TRAFO HUCRESI H01_2044201
182,ANADOLU İM 35-02-A00001_MEVLANA K06_2044353
183,TÜRK TELEKOM KEMER MEVKİİ VERİCİLER ÖZEL 35-15-L00277Ö_DIREK TIPI TRAFO HUCRESI H01_2044693
184,FOÇA TR-4 35-23-L00004_ L06_2044700
185,TR-63 35-17-M00063_DIREK TIPI TRAFO HUCRESI H01_2044933
186,TR-126 35-16-L00126_DIREK TIPI TRAFO HUCRESI H01_2045100
187,ZEYTİNDAĞ TR-3 35-16-M00005_DIREK TIPI TRAFO HUCRESI H01_2045112
188,ZEYTİNDAĞ TR-1 35-16-M00003_DIREK TIPI TRAFO HUCRESI H01_2045120
189,MEHMET KAYA GRB TR-1 35-24-M00111_DIREK TIPI TRAFO HUCRESI H01_2045162
190,EŞREFPAŞA İM 35-01-A00002_YAĞHANELER M12_2045238
191,RAHMİYE-1 SULAMA TR-6 45-72-M00336_DIREK TIPI TRAFO HUCRESI H01_2045262
192,RAHMİYE-1 SULAMA TR-12 45-72-M00345_DIREK TIPI TRAFO HUCRESI H01_2045272
193,RAHMİYE-2 SULAMA TR-2 45-72-M00366_DIREK TIPI TRAFO HUCRESI H01_2045299
194,RAHMİYE-2 SULAMA TR-1 45-72-M00367_DIREK TIPI TRAFO HUCRESI H01_2045300
195,EŞREFPAŞA İM 35-01-A00002_ÇİMENTEPE K18_2045371
196,ESKİOBA KÖK 35-29-L00037_AYAKLIKIRI L07_2045393
197,KAYMAKÇI TR-27 35-15-L00237_DIREK TIPI TRAFO HUCRESI H01_2045420
198,KARAPINAR TR-1 35-20-L00281_DIREK TIPI TRAFO HUCRESI H01_2045456
199,ZEYTİNOVA TR-7 35-20-L00314_DIREK TIPI TRAFO HUCRESI H01_2045469
200,KURUCUOVA TR-4 35-15-L00255_DIREK TIPI TRAFO HUCRESI H01_2045569
201,BALCILAR TR-1 35-20-M00042_DIREK TIPI TRAFO HUCRESI H01_2045808
202,TR-81 YÜCEL GÜLCÜ GRB. 35-15-M00081_DIREK TIPI TRAFO HUCRESI H01_2045843
203,FUAT IŞIK ÖZEL TR 35-23-M00243Ö_DIREK TIPI TRAFO HUCRESI H01_2045869
204,EŞREFPAŞA İM 35-01-A00002_ZÜMRÜTTEPE K03_2045900
205,KESİKKÖY DM 35-28-M00309_ M03_2045983
206,KESİKKÖY DM 35-28-M00309_ M02_2045984
207,ULUCAK DM 35-27-M00792_IŞIKLAR-2 M21_2046019
208,KESİKKÖY DM 35-28-M00309_ M08_2046126
209,TR-58 HAKKI İÇELLİ 35-15-L00058_DIREK TIPI TRAFO HUCRESI H01_2046136
210,TR-61 HALİM AVCI GRB. 35-15-L00061_DIREK TIPI TRAFO HUCRESI H01_2046138
211,TR-65 KANLICAKONAĞI MEVKİİ 35-15-L00065_DIREK TIPI TRAFO HUCRESI H01_2046142
212,BİRGİ TR-7 35-15-L00264_DIREK TIPI TRAFO HUCRESI H01_2046152
213,BİRGİ TR-15 35-15-L00269_DIREK TIPI TRAFO HUCRESI H01_2046156
214,BİRGİ TR-25 (PAŞA ÇEŞMESİ) 35-15-L00278_DIREK TIPI TRAFO HUCRESI H01_2046160
215,TR-55 35-22-M00055_DIREK TIPI TRAFO HUCRESI H01_2046211
216,SIRIMLI DERE MAH. TR-3 35-31-L00194_DIREK TIPI TRAFO HUCRESI H01_2046221
217,PE-MA MANTAR ÖZEL TR-1 35-23-M00134Ö_DIREK TIPI TRAFO HUCRESI H01_2046351
218,HACIHALİLLER TR-4 45-71-M01783_DIREK TIPI TRAFO HUCRESI H01_2046416
219,YUKARIDOLMA TR-2 45-72-L00670_DIREK TIPI TRAFO HUCRESI H01_2046425
220,ALAŞARLI TR-1 35-15-L00195_DIREK TIPI TRAFO HUCRESI H01_2046442
221,ORHANGAZİ TR-1 35-15-L00207_DIREK TIPI TRAFO HUCRESI H01_2046448
222,KAYMAKÇI TR-36 35-15-L00230_DIREK TIPI TRAFO HUCRESI H01_2046457
223,KAYMAKÇI TR-37 35-15-L00231_DIREK TIPI TRAFO HUCRESI H01_2046458
224,TR-39 35-22-M00039_DIREK TIPI TRAFO HUCRESI H01_2046529
225,TAŞKESİK TR-1 35-26-L00218_DIREK TIPI TRAFO HUCRESI H01_2046535
226,MÜSLİM SAĞSÖZ ÖZEL 35-23-M00306Ö_DIREK TIPI TRAFO HUCRESI H01_2046556
227,BIÇAKÇI OVACIK TR-5 35-15-L00084_DIREK TIPI TRAFO HUCRESI H01_2046594
228,GÖZTEPE İM 35-01-A00004_TR-1 10.5 K29_2046615
229,DURMUŞ SAYGILI SULAMA GRUBU 35-29-L00718_DIREK TIPI TRAFO HUCRESI H01_2046656
230,M-1781 35-02-M01781_IŞIKLAR TM M01_2046678
231,ATAKENT DM (M-2214) 35-09-M02214_ATAKENT-2 M06_2046715
232,ATAKENT DM (M-2214) 35-09-M02214_M-1143 M05_2046716
233,ATAKENT DM (M-2214) 35-09-M02214_ATAKENT-1 M13_2046723
234,ATAKENT DM (M-2214) 35-09-M02214_M-1649 M14_2046726
235,GELENBE TR-4 45-76-L00065_DIREK TIPI TRAFO HUCRESI H01_2046748
236,MURADİYE DM-5/10-C KÖK 45-71-M00674_DM-5/9 M07_2046758
237,ER-LER PET.ÜR. İNŞ. ÖZEL TR 35-15-M00183Ö_DIREK TIPI TRAFO HUCRESI H01_2046832
238,M-10 35-02-M00010_M-1437 M04_2046894
239,M-10 35-02-M00010_M-280 M06_2046898
240,GÖZTEPE İM 35-01-A00004_AGORA M14_2047147
241,TR-142 35-26-M00142_DIREK TIPI TRAFO HUCRESI H01_2047206
242,FAHRETTİN AVCI 35-26-L00067_DIREK TIPI TRAFO HUCRESI H01_2047213
243,K-3769 35-04-K03769_TRAFO K02_2047268
244,BOZKÖY TR-2 35-26-M00481_DIREK TIPI TRAFO HUCRESI H01_2047445
245,HELVACI TR-7 35-17-M00367_DIREK TIPI TRAFO HUCRESI H01_2047468
246,HELVACI TR-3 35-17-M00363_DIREK TIPI TRAFO HUCRESI H01_2047469
247,BOĞAZİÇİ İM 35-01-A00001_TR-1 K014_2047755
248,TR-111 35-15-M00111_DIREK TIPI TRAFO HUCRESI H01_2047797
249,TR-117 RIFAT ÇOĞALMIŞ GRB. 35-15-M00117_DIREK TIPI TRAFO HUCRESI H01_2047800
250,ESBAŞ İM 35-08-A00001_IRMAK M10_2047814
251,K-1683 35-01-K01683_TRAFO K03_2047848
252,MORALILAR TR-1 45-72-L00674_DIREK TIPI TRAFO HUCRESI H01_2047862
253,OSMAN ÇALKAN TARIMSAL SULAMA 45-72-L00686_DIREK TIPI TRAFO HUCRESI H01_2047873
254,K-3628 35-01-K03628_DAĞITIM TRF K-3628 K03_2048016
255,KIZILCAOVA TR-1 35-20-L00167_DIREK TIPI TRAFO HUCRESI H01_2048021
256,KIZILCAOVA TR-2 35-20-L00171_DIREK TIPI TRAFO HUCRESI H01_2048025
257,AŞAĞI KIZILCA TR-2 35-27-L00025_DIREK TIPI TRAFO HUCRESI H01_2048082
258,HALİL ÇİÇEK ÖZEL TR 35-27-L00031Ö_DIREK TIPI TRAFO HUCRESI H01_2048088
259,YEŞİLDERE KAZALLI TR-3 35-31-L00164_DIREK TIPI TRAFO HUCRESI H01_2048238
260,TEKELER MAH. TR-2 45-74-M00183_DIREK TIPI TRAFO HUCRESI H01_2048301
261,BARDAKÇI TR-1 45-74-M00170_DIREK TIPI TRAFO HUCRESI H01_2048304
262,K-4027 35-01-K04027_TRAFO K02_2048319
263,M-1351 35-01-M01351_M-1574 M01_2048322
264,YAKACIK TR-3 35-20-L00240_DIREK TIPI TRAFO HUCRESI H01_2048381
265,YAKACIK TR-6 35-20-L00244_DIREK TIPI TRAFO HUCRESI H01_2048385
266,GÖLCÜK TR-32 35-15-L00335_DIREK TIPI TRAFO HUCRESI H01_2048421
267,YENİŞEHİR TR-2 35-31-L00378_DIREK TIPI TRAFO HUCRESI H01_2048488
268,ALTINOLUK TR-11 35-31-L00293_DIREK TIPI TRAFO HUCRESI H01_2048515
269,İĞDELİ TR-1 35-31-L00300_DIREK TIPI TRAFO HUCRESI H01_2048522
270,OVAKENT TR-10 35-15-L00630_DIREK TIPI TRAFO HUCRESI H01_2048558
271,ÇOBANLAR SUBATAN TR-1 35-15-L00358_DIREK TIPI TRAFO HUCRESI H01_2048568
272,KARAKOVA MUZAFFER AKKAŞ SUL. GRB. TR-3 35-15-M00329_DIREK TIPI TRAFO HUCRESI H01_2048571
273,YENİKÖY TR-1 35-15-L00365_DIREK TIPI TRAFO HUCRESI H01_2048572
274,URLA İM 35-19-A00001_TR-16 L11_2048614
275,URLA İM 35-19-A00001_İSKELE ATATÜRK L10_2048616
276,URLA İM 35-19-A00001_TR-2 ŞEHİR FİDERİ L02_2048623
277,URLA İM 35-19-A00001_TR-2 ŞEHİR FİDERİ L02_2048624
278,URLA İM 35-19-A00001_TR-1 (15.8) VE ÖLÇÜ L07_2048631
279,GERÇEKLİ TR-4 35-15-L00652_DIREK TIPI TRAFO HUCRESI H01_2048700
280,TR-26 35-31-L00026_DIREK TIPI TRAFO HUCRESI H01_2048722
281,RAHMİYE-2 SULAMA TR-9 45-72-M00372_DIREK TIPI TRAFO HUCRESI H01_2048743
282,RAHMİYE-2 SULAMA TR-11 45-72-M00374_DIREK TIPI TRAFO HUCRESI H01_2048745
283,DM-2 45-71-M00002_BİT PAZARI M02_2048796
284,DM-2 45-71-M00002_HATUNİYE M03_2048798
285,DM-2 45-71-M00002_DAHİLİ TRF M24_2048817
286,ARİF DURSUN SULAMA GRB 35-26-M00534_DIREK TIPI TRAFO HUCRESI H01_2048856
287,YAĞLAR AZMAK TARIMSAL SULAMA GRUBU 35-31-L00048_DIREK TIPI TRAFO HUCRESI H01_2048878
288,KARAMAN TR-1 35-31-L00049_DIREK TIPI TRAFO HUCRESI H01_2048879
289,KONAKLI ZEKİ KUTLU SULAMA GRB TR-24 35-15-M00151_DIREK TIPI TRAFO HUCRESI H01_2048904
290,TR-41 35-17-M00041_DIREK TIPI TRAFO HUCRESI H01_2048921
291,KEMALPAŞA TM 35-27-A00002_KEMALPAŞA-1 M06_2048964
